1,ข้อใดกล่าวผิดเกี่ยวกับหัวใจมนุษย์, หัวใจห้องบนขวารับเลือดดำเท่านั้น, หัวใจห้องบนซ้ายรับเลือดแดงเท่านั้น, หัวใจห้องล่างขวามีเฉพาะเลือดำไหลผ่านเท่านั้น, หัวใจห้องล่างซ้ายมีผนังบางที่สุด,4, หัวใจห้องล่างซ้ายจะมีผนังหนา
2,อวัยวะต่างๆ ต่อไปนี้อวัยวะในทางเดินอาหาร ยกเว้นข้อใด, หลอดอาหาร, ตับอ่อน, กระเพาะอาหาร, ทวานหนัก,2, ตับอ่อนไม่เป็นอวัยวะในทางเดินอาหาร แต่จะสร้างน้ำย่อยโปรตีนในลำไส้เล็ก
3,การย่อยอาหารแบบที่ใช้แรงในการบทอาหารเกิดขึ้นที่อวัยวะใดในทางเดินอาหาร, ปากและหลอดอาหาร, ปากและลำไส้เล็ก, กระเพาะอาหารและทวานหนัก, สำไส้ใหญ่และทวานหนัก,1, เพราะการย่อยอาหารเป็นการใช้แรงบดอาหาร จะเกิดขึ้นที่ปากและหลอดอาหาร 
4,ข้อใดกล่าวถูกต้องเกี่ยวกับกระเพาะอาหารของมนุษย์, มีการย่อยอาหารทั้งโปรตีนและไขมัน, มีลักษณะเป็นพูๆจำนวน 3 พู, มีสภาพทั่วไปเป็นกรด, เป็นส่วนที่มีความยาวมากกว่า 8 เมตร,3, กระเพาะอาหารจะมีสภาพเป็นกรด และกรดในกระเพาะเป็นกรดเกลือ
5,ข้อใดถูกต้องเกี่ยวกับเลือดดำ, เป็นเลือดที่มีสีดำคล้ำเท่านั้น, เป็นเลือที่มีออกซิเจนละลายอยู่น้อย, เป็นเลือดที่มีธาตุเหล็กเจือปนอยู่มาก, เป็นเลือทีไหลออกจากหัวใจเท่านั้น,2, เลือดดำคือเลือดที่มีออกชิเจนน้อย คาร์บอนไดออกไซด์สูง
6,ในปัสสาวะของคนปกติจะต้องไม่พบส่วนประกอบใด, เกลือแร่, ยาบางชนิดที่รับประทานเข้าไป, สารโปรตีน, ยูเรีย,3, สารโปรตีน
7,สัตว์ในข้อใดแตกต่างจากข้ออื่นมากที่สุด, คางคก  ปาด, เขียด อึ่งอ่าง, จระเข้  เต่า,  งูดิน  จิ้งจกน้ำ,3," เพราะจระเข้ เต่า เป็นสัตว์เลื้อยคลาน สัตว์ในข้อ 1,2,4 เป็นสัตว์ครึ่งบกครึ่งน้ำ"
8,สัตว์ในข้อใดต่อไปนี้จัดเป็นสัตว์เลือดอุ่นทุกชนิด, ค้างคาว งู กระรอก, ไก่ ค้างคาว พะยูน, เต่า เพนกวิน กิ้งก่า, โลมา จิ้งจก กวาง,2, เพราะสัตว์ปีกและสัตว์เลี้ยงลูกด้วยนมเป็นสัตว์เลือดอุ่น
9,ที่ผิวหนังของสัตว์เลี้ยงลูกด้วนมมักจะพบอะไร, ต่อมน้ำนม, เกล็ดขนาดเล็กเรียงซ้อนกัน, ต่อมเหงื่อ  ต่อมไขมัน, ขนยาวและแข็งมาก,3, เพราะต่อมต่างๆ ที่ผิวหนังเป็นลักษณะเฉพาะของสัตว์เลี้ยงลูกด้วยนม
10,สิ่งมีชีวิตที่ช่วยเปลี่ยนสารอินทรีย์ให้เป็นสารอนินทรีย์คือข้อใด, สัตว์พวงแมลง, แบคทีเรีย รา, พืชสีเขียวบางชนิด, สาหร่ายทุกชนิด,2, เพราะแบคทีเรียและราจัดเป็นผู้ย่อยในธรรมชาติ
11,ข้อใดเขียนโซ่อาหารได้ถูกต้องตามความเป็นจริง, ไรน้ำ--> ปลาเล็ก-->ปลาใหญ่, หญ้า-->งู-- > เสือ, หนู --> ข้าว -->  งู, เสือ -->กระต่างป่า --> หญ้า,1, เพราะการเขียนโซ่อาหาร หัวลูกศรจะชี้ไปทางผู้บริโภค หางลูกศรชี้ไปทางผู้ถูกล่า
12,ข้อใดกล่าวถูกต้องเกี่ยวกับสมบัติของสาร, อยู่ในรูปของแข็งเสมอ, แรงยึดเหนี่ยวในของแข็งมีมากที่สุด, ของเหลวสามารถฟุ้งกระจายได้ดี, อนุภาคของก๊าชเรียงอยู่ชิดติดกันมาก,2, เพราะของแข็งจะมีโมเลกุลชิดกันจึงมีแรงยึดเหนี่ยวระหว่างอนุภาคมาก
13,สารใดต่อไปนี้จัดเป็นสารละลาย, ก๊าชหุงต้น, น้ำกลั่น, แกงเขียวหวานไก่, นมสดชนิดจืด,1, เพราะก๊าซหุงต้มจักเป็นสารเนื้อเดียวที่ประกอบด้วยก๊าซ 2 ชนิดละลายปนกันอยู่
14,สารเคมีชนิดใดเป็นตัวทำลายโอโซนในชั้นบรรยากาศและให้เกิดปรากฏการณ์เรือนกระจก, ไนโตรเจน, ออกซิเจน, ซัลเฟอร์, คลอโรฟลูออโรคาร์บอน,4," เพราะสารคลอโรฟลูออโรคาร์บอนเป็นก๊าซที่มีอะตอมของธาตุคลอรีนซึ่งเป็นตัว
ทำลายโมเลกุลของโอโซนในบรรยากาศ"
15,ถ้าต้องการแยกน้ำตาลทรายที่ละลายอยู่ในน้ำออกมา จะต้องปฏิบัติตามข้อใด, นำสารละลายน้ำตาลไปกรอง, นำสารละลายน้ำตาลไประเหยจนแห้ง, นำสารละลายน้ำตาลไปใส่กรวยแยก, นำสารละลายน้ำตาลไปแช่แข็ง,2, นำน้ำตาลไประเหยจนแห้ง
16,ถ้านำถ่านไฟฉายที่มีแรงเคลื่อนไฟฟ้า 1.5 โวลต์มาต่อกัน 4 ก้อน  จะได้แรงเคลื่อนไฟฟ้ารวมเท่าใด, 5 โวลต์,  3 โวลต์,  6  โวลต์, 0  โวลต์,3, เพราะเป็นการต่อแบบอนุกรม ทำให้ผลรวมของแรงเคลื่อนไฟฟ้า 1.5+1.5+1.5+1.5=6
17,ข้อใดถูกต้องตามความเป็นจริง, ไฟฟ้าในอาคารบ้านเรือนจะต่อแบบขนาน, ไฟฟ้าจากถ่านไฟฉายเป็นไฟฟ้ากระแสสลับ, ไฟฟ้าในอาคารบ้านเรือนเป็นไฟฟ้ากระแสตรง, ไฟฟ้าที่ได้จากแบตเตอรี่เป็นไฟฟ้ากระแสสลับ,4, เพราะเป็นการต่อแบตเตอรี่เป็นไฟฟ้ากระแสสลับ
18,ข้อใดกล่าวถูกต้องเกี่ยวกับกล้องโทรทรรศน์แบบหักเหแสง, ใช้กระจกโค้งในการรับแสง, เลนส์ใกล้ตามีความยาวโฟกัสสั้นกว่าเลนส์ใกล้วัตถุ, ประกอบด้วยเลนส์เว้าจำนวน 2 อัน, มีกำลังขยายประมาณ 1.5 เท่า,1, ใช้กระจกโค้งในการรับแสง
19,เพราะเหตุใดในการส่งยานอวกาศหรือการส่งดาวเทียมต้องใช้จรวดขับดันเป็นท่อนๆ, เพื่อให้การส่งตัวเร็วขึ้น, เพื่อป้องกันการเสียดสีกับชั้นบรรยากาศ, เพื่อบรรจุเชื่อเพลิงให้ได้ปริมาณมากขึ้น, เพื่อลดน้ำหนักและช่วยประหยัดเชื้อเพลิงขณะส่ง,3,ตอบ 3 เพื่อบรรจุเชื้อเพลิงให้ได้ปริมาณมากที่สุด
